Epoch 1 Batch 16400 Loss 0.9507 Accuracy 0.1815
Epoch 1 Batch 16450 Loss 0.9516 Accuracy 0.1820
Epoch 1 Batch 16500 Loss 0.9526 Accuracy 0.1824
Epoch 1 Batch 16550 Loss 0.9535 Accuracy 0.1828
Epoch 1 Batch 16600 Loss 0.9543 Accuracy 0.1833
Epoch 1 Batch 16650 Loss 0.9551 Accuracy 0.1837
Epoch 1 Batch 16700 Loss 0.9559 Accuracy 0.1842
Epoch 1 Batch 16750 Loss 0.9566 Accuracy 0.1846
Epoch 1 Batch 16800 Loss 0.9574 Accuracy 0.1851
Epoch 1 Batch 16850 Loss 0.9581 Accuracy 0.1855
Saving checkpoint for epoch 1 at /home/f20212416/FoDS/checkpoints2/ckpt-1
Time taken for 1 epoch: 15066.340521097183 secs

Start of epoch 2
Epoch 2 Batch 0 Loss 0.8303 Accuracy 0.0982
Epoch 2 Batch 50 Loss 0.6279 Accuracy 0.1272
Epoch 2 Batch 100 Loss 0.5399 Accuracy 0.1414
Epoch 2 Batch 150 Loss 0.4948 Accuracy 0.1491
Epoch 2 Batch 200 Loss 0.4750 Accuracy 0.1550
Epoch 2 Batch 250 Loss 0.4652 Accuracy 0.1630
Epoch 2 Batch 300 Loss 0.4572 Accuracy 0.1700
Epoch 2 Batch 350 Loss 0.4513 Accuracy 0.1755
Epoch 2 Batch 400 Loss 0.4483 Accuracy 0.1798
Epoch 2 Batch 450 Loss 0.4449 Accuracy 0.1832
Epoch 2 Batch 500 Loss 0.4460 Accuracy 0.1862
Epoch 2 Batch 550 Loss 0.4446 Accuracy 0.1884
Epoch 2 Batch 600 Loss 0.4433 Accuracy 0.1908
Epoch 2 Batch 650 Loss 0.4402 Accuracy 0.1929
Epoch 2 Batch 700 Loss 0.4394 Accuracy 0.1947
Epoch 2 Batch 750 Loss 0.4370 Accuracy 0.1964
Epoch 2 Batch 800 Loss 0.4341 Accuracy 0.1978
Epoch 2 Batch 850 Loss 0.4331 Accuracy 0.1993
Epoch 2 Batch 900 Loss 0.4332 Accuracy 0.2009
Epoch 2 Batch 950 Loss 0.4321 Accuracy 0.2029
Epoch 2 Batch 1000 Loss 0.4314 Accuracy 0.2052
Epoch 2 Batch 1050 Loss 0.4318 Accuracy 0.2072
Epoch 2 Batch 1100 Loss 0.4322 Accuracy 0.2088
Epoch 2 Batch 1150 Loss 0.4328 Accuracy 0.2106
